  N levels =   46          CBMF=     9.578     SST=   30.81 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    29.095      20.227283     0.048    0.00       1.394
    975.0    26.913      20.020197     0.049    0.00       1.639
    950.0    24.796      19.949270     0.051    0.00       1.185
    925.0    24.543      17.118494     0.051    0.00       1.714
    900.0    23.278      15.980132     0.054    0.00       1.399
    875.0    22.134      14.907537     0.055    0.00       1.356
    850.0    20.949      13.985360     0.055    0.00       1.272
    825.0    19.720      13.165788     0.057    0.00       1.210
    800.0    18.444      12.459347     0.057    0.00       1.155
    775.0    17.095      11.773632     0.058    0.00       1.106
    750.0    15.709      11.037371     0.059    0.00       1.139
    725.0    14.326      10.217147     0.060    0.00       1.062
    700.0    12.901       9.277533     0.061    0.00       1.047
    675.0    11.482       8.157608     0.061    0.00       1.048
    650.0    10.114       7.267228     0.061    0.00       1.070
    625.0     8.603       6.552643     0.062    0.00       1.065
    600.0     6.981       5.983124     0.063    0.00       1.097
    575.0     5.243       5.521297     0.065    0.00       1.148
    550.0     3.362       5.142529     0.066    0.00       1.215
    525.0     1.350       4.668726     0.068    0.00       1.249
    500.0    -0.991       4.265105     0.069    0.00       1.148
    475.0    -3.107       3.638471     0.070    0.00       1.246
    450.0    -5.469       3.234869     0.073    0.00       1.680
    425.0    -7.993       2.956214     0.075    0.00       1.974
    400.0   -10.619       2.239793     0.078    0.00       1.700
    375.0   -13.393       1.506234     0.081    0.00       1.579
    350.0   -16.455       1.040840     0.085    0.00       1.462
    325.0   -19.958       0.806508     0.091    0.00       1.145
    300.0   -24.205       0.753429     0.097    0.00       1.407
    275.0   -28.838       0.750464     0.107    0.00       1.419
    250.0   -33.919       0.608242     0.119    0.00       0.931
    225.0   -39.434       0.073361     0.135    0.00       0.360
    200.0   -46.617       0.053725     0.154    0.00       0.259
    175.0   -54.769       0.040170     0.176    0.00       0.819
    150.0   -63.516       0.027464     0.206    0.00       0.401
    125.0   -59.600       0.004020     0.265    0.00      -0.197
    100.0   -55.265       0.001000     0.405    0.00      -0.024
     80.0   -53.812       0.001000     0.755    0.00      -0.018
     60.0   -51.490       0.001000     2.042    0.00      -0.014
     40.0   -49.309       0.001000     5.238    0.00      -0.010
     30.0   -49.616       0.001000     8.440    0.00      -0.007
     25.0   -50.884       0.001000    10.124    0.00      -0.005
     20.0   -51.991       0.001000    11.773    0.00      -0.005
     15.0   -53.049       0.001000    13.882    0.00      -0.003
     10.0   -54.699       0.001000    13.873    0.00      -0.003
      5.0   -55.859       0.001000    10.548    0.00       0.001
